"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
1,"1","2026-04-03T19:56:18.286998Z",1,14.672,"Positive","This phone is fantastic and charges super fast!","2026-04-03T19:56:18.286998Z"
2,"1","2026-04-03T19:56:21.693784Z",2,3.056,"Negative","The battery died after two days - total waste of money.","2026-04-03T19:56:21.693784Z"
3,"1","2026-04-03T19:56:24.705735Z",3,2.699,"Positive","Love the sound quality on these headphones.","2026-04-03T19:56:24.705735Z"
4,"1","2026-04-03T19:56:32.476726Z",4,7.464,"Neutral","Delivery was late and the box was damaged.","2026-04-03T19:56:32.476726Z"
5,"1","2026-04-03T19:56:35.430415Z",5,2.659,"Positive","Works perfectly for my daily workouts.","2026-04-03T19:56:35.430415Z"
6,"1","2026-04-03T19:56:38.173366Z",6,2.431,"Negative","Customer service was rude and unhelpful.","2026-04-03T19:56:38.173366Z"
7,"1","2026-04-03T19:56:41.313500Z",7,2.837,"Positive","Best coffee maker I have ever owned.","2026-04-03T19:56:41.313500Z"
8,"1","2026-04-03T19:56:44.496052Z",8,2.864,"Negative","Screen cracked after one drop - very disappointed.","2026-04-03T19:56:44.496052Z"
9,"1","2026-04-03T19:56:47.903224Z",9,3.091,"Positive","Easy to set up and great value for the price.","2026-04-03T19:56:47.903224Z"
10,"1","2026-04-03T19:56:57.619557Z",10,9.404,"Neutral","Instructions were confusing and missing parts.","2026-04-03T19:56:57.619557Z"
11,"1","2026-04-03T19:57:02.571790Z",11,4.611,"Positive","This shirt fits perfectly and feels high quality.","2026-04-03T19:57:02.571790Z"
12,"1","2026-04-03T19:57:05.754454Z",12,2.819,"Negative","Returned it the same day - horrible material.","2026-04-03T19:57:05.754454Z"
13,"1","2026-04-03T19:57:08.922236Z",13,8.757,"Neutral","The app update made everything slower.","2026-04-03T19:57:19.011468Z"
14,"1","2026-04-03T19:57:29.582304Z",14,4.959,"Neutral","Fast shipping and exactly as described.","2026-04-03T19:57:29.582304Z"
15,"1","2026-04-03T19:57:33.053649Z",15,3.146,"Negative","Terrible noise cancellation - do not buy.","2026-04-03T19:57:33.053649Z"
16,"1","2026-04-03T19:57:40.822809Z",16,7.459,"Positive","My kids love this toy and it keeps them busy for hours.","2026-04-03T19:57:40.822809Z"
17,"1","2026-04-03T19:57:44.762795Z",17,3.623,"Neutral","Broke within the first week of use.","2026-04-03T19:57:44.762795Z"
18,"1","2026-04-03T19:57:48.286574Z",18,3.217,"Positive","Sturdy build and worth every penny.","2026-04-03T19:57:48.286574Z"
19,"1","2026-04-03T19:57:51.091209Z",19,2.464,"Neutral","The color faded after one wash.","2026-04-03T19:57:51.091209Z"
20,"1","2026-04-03T19:57:53.682924Z",20,2.277,"Positive","Would buy again in a heartbeat!","2026-04-03T19:57:53.682924Z"
